sample,time_s,reference_q12,measured_q12,duty_q12,integral_q12,armed,fault,enabled,target_rpm,measured_rpm,duty_percent
999,9.99,1536,1539,2431,2430,1,0,1,40.97419435122675,41.05422207456899,59.3505859375
1000,10.0,1536,1534,2426,2429,1,0,1,40.97419435122675,40.92084253566525,59.228515625
1001,10.01,1536,1538,2430,2429,1,0,1,40.97419435122675,41.02754616678824,59.326171875
1002,10.02,1536,1536,2426,2428,1,0,1,40.97419435122675,40.97419435122675,59.228515625
1003,10.03,1536,1533,2428,2428,1,0,1,40.97419435122675,40.89416662788451,59.27734375
1004,10.04,1536,1535,2430,2428,1,0,1,40.97419435122675,40.947518443446,59.326171875
1005,10.05,1536,1534,2428,2428,1,0,1,40.97419435122675,40.92084253566525,59.27734375
1006,10.06,1536,1534,2429,2428,1,0,1,40.97419435122675,40.92084253566525,59.3017578125
1007,10.07,1536,1534,2429,2428,1,0,1,40.97419435122675,40.92084253566525,59.3017578125
1008,10.08,1536,1533,2429,2428,1,0,1,40.97419435122675,40.89416662788451,59.3017578125
1009,10.09,1536,1531,2430,2428,1,0,1,40.97419435122675,40.84081481232302,59.326171875
1010,10.1,1536,1536,2432,2428,1,0,1,40.97419435122675,40.97419435122675,59.375
1011,10.11,1536,1533,2428,2428,1,0,1,40.97419435122675,40.89416662788451,59.27734375
1012,10.12,1536,1538,2430,2428,1,0,1,40.97419435122675,41.02754616678824,59.326171875
1013,10.13,1536,1531,2425,2427,1,0,1,40.97419435122675,40.84081481232302,59.2041015625
1014,10.14,1536,1530,2431,2427,1,0,1,40.97419435122675,40.81413890454227,59.3505859375
1015,10.15,1536,1534,2432,2427,1,0,1,40.97419435122675,40.92084253566525,59.375
1016,10.16,1536,1529,2428,2427,1,0,1,40.97419435122675,40.78746299676152,59.27734375
1017,10.17,1536,1532,2433,2427,1,0,1,40.97419435122675,40.86749072010376,59.3994140625
1018,10.18,1536,1530,2430,2427,1,0,1,40.97419435122675,40.81413890454227,59.326171875
1019,10.19,1536,1533,2432,2427,1,0,1,40.97419435122675,40.89416662788451,59.375
1020,10.2,1536,1530,2429,2427,1,0,1,40.97419435122675,40.81413890454227,59.3017578125
1021,10.21,1536,1531,2432,2427,1,0,1,40.97419435122675,40.84081481232302,59.375
1022,10.22,1536,1531,2431,2427,1,0,1,40.97419435122675,40.84081481232302,59.3505859375
1023,10.23,1536,1530,2431,2427,1,0,1,40.97419435122675,40.81413890454227,59.3505859375
1024,10.24,1536,1529,2432,2427,1,0,1,40.97419435122675,40.78746299676152,59.375
1025,10.25,1536,1530,2433,2427,1,0,1,40.97419435122675,40.81413890454227,59.3994140625
1026,10.26,1536,1529,2432,2427,1,0,1,40.97419435122675,40.78746299676152,59.375
1027,10.27,1536,1527,2433,2427,1,0,1,40.97419435122675,40.73411118120003,59.3994140625
1028,10.28,1536,1532,2435,2427,1,0,1,40.97419435122675,40.86749072010376,59.4482421875
1029,10.29,1536,1529,2430,2427,1,0,1,40.97419435122675,40.78746299676152,59.326171875
1030,10.3,1536,1534,2433,2427,1,0,1,40.97419435122675,40.92084253566525,59.3994140625
1031,10.31,1536,1528,2428,2427,1,0,1,40.97419435122675,40.76078708898078,59.27734375
1032,10.32,1536,1531,2434,2427,1,0,1,40.97419435122675,40.84081481232302,59.423828125
1033,10.33,1536,1532,2431,2427,1,0,1,40.97419435122675,40.86749072010376,59.3505859375
1034,10.34,1536,1528,2430,2427,1,0,1,40.97419435122675,40.76078708898078,59.326171875
1035,10.35,1536,1529,2434,2427,1,0,1,40.97419435122675,40.78746299676152,59.423828125
